id,x,y,d,t,s,r,o,h,k,j,m,b,v,f,p,c
305229,41.264198,-72.872939,14835744,19:09,K,3.0,441 Coe Avenue,,['Pedestrian'],N,0,35.0,False,False,1,0
309954,41.326081,-72.929576,14985216,07:00,A,4.0,NEWHALL ST,unknown,['Pedestrian'],S,0,25.0,False,False,1,0
309996,41.321474,-72.943994,14989536,18:51,A,4.0,GOFFE TER,NORTON ST,['Pedestrian'],S,0,25.0,False,False,1,0
315741,41.324924,-72.956903,14996448,09:26,A,3.0,WHALLEY AVE,(RTE 10 - FITCH ST),['Bicyclist'],N,0,25.0,False,False,0,1
315741,41.324924,-72.956903,14996448,09:26,A,3.0,WHALLEY AVE,(RTE 10 - FITCH ST),['Bicyclist'],N,0,25.0,False,False,0,1
319696,41.318591,-72.844725,15006816,04:14,A,4.0,MAPLEVALE CT,MAPLEVALE RD,['Pedestrian'],S,99,25.0,True,False,1,0
338176,41.288613,-72.972009,15053472,19:47,A,4.0,Fairfax Street,,['Pedestrian'],,0,25.0,True,False,1,0
344302,41.27223,-72.8705,15070752,19:08,A,3.0,Hemingway Avenue,PENNSYLVANIA AVE,['Pedestrian'],N,0,35.0,False,False,1,0
354723,41.281954,-72.982175,15034464,20:55,K,2.0,BOSTON POST RD,,['Pedestrian'],W,0,35.0,False,False,1,0
364824,41.29004,-72.968395,14777856,02:07,K,2.0,Boston Post Rd,,['Pedestrian'],N,0,35.0,True,,1,0
375710,41.310396,-72.957895,15138144,17:15,A,3.0,DERBY AVE,YALE AVE,['Bicyclist'],E,0,35.0,False,False,0,1
375710,41.310396,-72.957895,15138144,17:15,A,3.0,DERBY AVE,YALE AVE,['Bicyclist'],N,0,35.0,False,False,0,1
376454,41.364559,-72.929287,15132960,16:36,A,4.0,BENHAM ST,MIX AV,['Pedestrian'],W,0,30.0,False,False,1,0
383500,41.308683,-72.899842,15012000,13:29,A,4.0,314 GRAND AVE,,['Pedestrian'],W,0,35.0,False,False,1,0
383536,41.334902,-72.935253,15012000,17:16,A,4.0,DIXWELL AVE,ELIZABETH ST,['Pedestrian'],S,0,25.0,False,True,1,0
383706,41.334405,-72.956663,15022368,08:31,A,4.0,355 SPRINGSIDE AVE,,['Bicyclist'],N,0,25.0,True,False,0,1
383706,41.334405,-72.956663,15022368,08:31,A,4.0,355 SPRINGSIDE AVE,,['Bicyclist'],N,0,25.0,False,False,0,1
384016,41.307383,-72.92847,15034464,11:35,A,,UPPER GREEN (ALONG COLLEGE ST.),,['Pedestrian'],N,0,,False,False,1,0
384033,41.30963,-72.93696,15035328,15:28,A,4.0,CHAPEL ST,DWIGHT ST,['Pedestrian'],W,0,25.0,False,False,1,0
384033,41.30963,-72.93696,15035328,15:28,A,4.0,CHAPEL ST,DWIGHT ST,['Pedestrian'],W,0,25.0,False,False,1,0
384127,41.305632,-72.933903,15039648,21:59,A,3.0,N FRONTAGE RD,YORK ST(ONE-WAY NB),['Bicyclist'],W,0,,False,False,0,1
384127,41.305632,-72.933903,15039648,21:59,A,3.0,N FRONTAGE RD,YORK ST(ONE-WAY NB),['Bicyclist'],S,0,,False,False,0,1
384264,41.320268,-72.871984,15047424,20:45,A,3.0,FOXON BLVD,,['Pedestrian'],E,0,25.0,True,False,1,0
384610,41.297139,-72.948666,15061248,02:58,K,3.0,ELLA T GRASSO BLVD,,['Pedestrian'],,99,35.0,True,False,1,0
384709,41.299965,-72.942167,15064704,10:48,A,4.0,38 ANN ST,,"['Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)']",W,0,25.0,False,False,0,0
